1789096511	2835732	0
1789096526	2835732	0
1789096541	2835732	0
1789096556	3056344	0
1789096571	756720	0
1789096586	1386300	0
1789096601	1695468	0
1789096616	3388120	0
1789096631	2949196	0
1789096646	2949196	0
1789096661	2949196	0
1789096676	3143748	0
1789096691	797704	0
1789096706	1419392	0
1789096721	1624972	0
1789096736	3404976	0
1789096751	5725664	0
1789096766	5725664	0
1789096781	5725664	0
1789096796	5725664	0
1789096811	5725664	0
1789096826	5725664	0
1789096841	5725664	0
1789096856	6118072	0
1789096871	787576	0
1789096886	1433672	0
1789096901	1591940	0
1789096916	1764492	0
1789096931	2096780	0
1789096946	5694992	0
1789096961	5694992	0
1789096976	5694992	0
1789096991	5694992	0
1789097006	5694992	0
1789097021	5694992	0
1789097036	5694992	0
1789097051	6076952	0
1789097066	838572	0
1789097081	1461764	0
1789097096	1718360	0
1789097111	3435284	0
1789097126	3480328	0
1789097141	3480328	0
1789097156	3480328	0
1789097171	3564552	0
1789097186	859868	0
1789097201	1437404	0
1789097216	2705656	0
1789097231	2705656	0
1789097246	3016508	0
1789097261	3113316	0
1789097276	2789664	0
1789097291	3474164	0
1789097306	3478772	0
1789097321	3478772	0
1789097336	3478772	0
1789097352	3638792	0
1789097367	1441436	0
1789097382	1474184	0
1789097397	2702680	0
1789097412	2733404	0
1789097427	3108608	0
1789097442	3311228	0
1789097457	4289784	0
1789097472	6739848	0
1789097487	6739848	0
1789097502	6739848	0
1789097517	6739848	0
1789097532	6739848	0
1789097547	6739848	0
1789097562	6739848	0
1789097577	7101088	0
1789097592	7048024	0
1789097607	1447496	0
1789097622	1467980	0
1789097637	2701588	0
1789097652	2701588	0
1789097667	3056296	0
1789097682	3289220	0
1789097697	3605792	0
1789097712	5514176	0
1789097727	6792164	0
1789097742	6792164	0
1789097757	6792164	0
1789097772	6792164	0
1789097787	6792164	0
1789097802	6792164	0
1789097817	6792164	0
1789097832	7100892	0
1789097847	7149024	0
1789097862	1489904	0
1789097877	2746608	0
1789097892	2746608	0
1789097907	2981704	0
1789097922	3158544	0
1789097937	2231456	0
1789097952	3062348	0
1789097967	10646944	16
1789097982	13159172	16092
1789097997	13159172	16092
1789098012	13159172	16092
1789098027	13159172	16092
1789098042	13159172	16092
1789098057	13159172	16092
1789098072	13159172	16092
1789098087	13159172	16092
1789098102	13159172	16092
1789098117	13159172	16092
1789098132	13159172	16092
1789098147	13159172	16092
1789098162	13159172	16092
1789098177	13159172	16092
1789098192	13601156	256928
1789098207	13603644	291132
1789098222	13584028	313696
1789098237	13567608	333124
1789098252	13529836	465648
1789098267	13613044	385204
1789098283	13611548	390704
1789098298	13610064	400592
1789098313	1359280	92060
1789098328	2584024	69500
1789098343	2628040	69496
1789098358	2732592	69492
1789098373	3069024	69424
1789098388	1773692	69296
1789098403	2974320	68580
1789098418	10577904	68576
1789098433	13131800	68576
1789098448	13131800	68576
1789098463	13131800	68576
1789098478	13131912	68576
1789098493	13131912	68576
1789098508	13131912	68576
1789098523	13131912	68576
1789098538	13131912	68576
1789098553	13131912	68576
1789098568	13131912	68576
1789098583	13131912	68576
1789098598	13131912	68576
1789098613	13131912	68576
1789098628	13131912	68576
1789098643	13593948	291268
1789098658	13599164	318744
1789098673	13603220	318744
1789098688	13598936	363488
1789098703	1408340	81292
1789098718	1441112	81292
1789098733	2695604	76440
1789098748	2695604	76440
1789098763	3034032	70456
1789098778	3253448	70428
1789098793	3758896	70272
1789098808	10725568	69896
1789098823	13582100	467228
1789098838	13581552	1398620
1789098853	11801664	1948620
1789098868	13578448	2338324
1789098883	13575132	3094260
1789098898	13527852	3927076
1789098913	13601248	5940760
1789098928	13597692	7954744
1789098943	13594088	9167572
1789098958	13594144	10276788
1789098973	13537780	11077132
1789098988	13592484	11063392
1789099003	13592484	11063392
1789099018	13592484	11063392
1789099033	13592956	11062920
1789099048	13592956	11062920
1789099063	13592956	11062920
1789099078	13592956	11062920
1789099093	13548240	11107636
1789099108	13567336	11087028
1789099123	13549660	11104124
1789099138	13550888	11103208
1789099153	13551944	11101808
1789099168	13551516	11102296
1789099183	13552188	11101572
1789099198	13551580	11102156
1789099213	13551672	11102096
1789099229	13551920	11101820
1789099244	13552340	11102620
1789099259	13552008	11101732
1789099274	13550652	11103084
1789099289	13462136	11191596
1789099304	13372212	11281524
1789099319	13330376	11323364
1789099334	13348552	11305188
1789099349	13348324	11305420
1789099364	13348508	11300168
1789099379	13354284	11294444
1789099394	13357860	11290820
1789099409	13359068	11289688
1789099424	13357272	11291408
1789099439	13475016	11173732
1789099454	13473848	11174880
1789099469	13473836	11174920
1789099484	13473388	11175288
1789099499	13470704	11177968
1789099514	13471664	11177032
1789099529	13421920	11247272
1789099544	13151924	11643916
1789099559	12887012	11998060
1789099574	12636240	12349216
1789099589	12496236	12565168
1789099604	12481280	13354180
1789099619	12478480	13782968
1789099634	12478480	13782968
1789099649	12287088	14036952
